"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"foto kredits"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"Column2"	"Column3"	"Column4"	"Column5"
"42.38304619393992, 18.922727862828964"	1002	"Ćikova glavica"	"Gojko"	"Berkuljan"	1951	"ulje na platnu"	"53x72,5"	"NMCG"		"Geoculture"	"Detaljna, skoro fotografski opisana je predstava obližnjeg uzvišenja, nedaleko od centra Cetinja. Nekoliko skromnih prizemnih kuća geometrijski tretiranih jednostavnim potezima, narušava „čupavost“ obližnjih krošnji, intenzivnih zelenih tonova. Topla svjetlost obavija čitavu kompoziciju."		"Gojko Berkuljan; Cetinje"				
"42.392716805406074, 18.90600707715328"	1003	"Humci "	"Gojko"	"Berkuljan"	1956	"ulje na platnu"	"108x88"	"NMCG"		"Geoculture"	"Motiv grupe kuća u naselju Humci, smještenom na zapadnom rubu Cetinjskog polja, javlja se i u djelima drugih umjetnika poslijeratnog perioda. Predstavom dominira skoro mistična silueta Jezerskog vrha, koja se gorostasno uzdiže iznad naselja. Kao kontrateža javljaju se intenzivni tonovi naselja u podnožju, naglašeni akcentima crvene i zelene boje."		"Gojko Berkuljan; Cetinje"				
"42.38200989714357, 18.956276329670835"	1004	"Belveder"	"Gojko"	"Berkuljan"	1951	"ulje na platnu"	"48,5x68"	"NMCG"		"Geoculture"	"U vrijeme kada je formirana grupa „Trojica“, koju su činili Berkuljan, Aleksandar Aco Prijić i Branko Filipović Filo, na pojedinim radovima može se zapaziti međusobni uticaj. Takav je primjer pogled na mjesto Belveder, nedaleko od Cetinja, sa kojeg se pruža veličanstvena panorama Skadarskog jezera. Kolorit je i dalje oker-smeđi, sa pojedinim tamnijim partijama, dok su forme znatno više apstrahovane. Djelo pripada tzv. „srebrnoj fazi“."		"Gojko Berkuljan; Cetinje"				
"42.387938,18.924905"	1005	"Cetinje"	"Gojko"	"Berkuljan"	1955	"ulje na platnu"	"52x73,5"	"NMCG"		"Geoculture"	"Ova slika ima sličan kolorit kao na predstavi „Autobuska stanica“, s tim što je ovdje upečatljiviji ekspresionistički zanos. Rad predstavlja Gradsku kafanu, kultno mjesto za život grada tokom posljednjeg vijeka, smještenu na Dvorskom trgu. Dinamičnost predstave uspostavljena je preplitanjem kratkih poteza nasuprot uglačanoj fasadi objekta i vertikalama koje daju ravnotežu kompoziciji."	"U vrijeme vladavine kralja Nikole, kada je Cetinje imalo status prijestonice i bilo važno diplomatsko središte sa čak trinaest stranih poslanstava, ovaj objekat je izgrađen za potrebe Bugarskog poslanstva. Sagrađen 1910. godine, pripadao je reprezentativnom sklopu diplomatske arhitekture koji je svjedočio međunarodnom ugledu Crne Gore uoči Prvog svjetskog rata. Njegova namjena i položaj u urbanom tkivu grada ukazuju na period intenzivnog političkog, društvenog i kulturnog života Cetinja, kada su diplomatske zgrade imale važnu simboličku i funkcionalnu ulogu u formiranju identiteta prijestonice, po čemu se Cetinje prepoznaje i danas."	"Gojko Berkuljan; Cetinje"				
"42.277666079154386, 18.834839476297994"	1006	"Budva"	"Marko"	"Čelebonović"	1952	"ulje na platnu"	"72x92"	"NMCG"		"Geoculture"	"Motiv je prepoznatljivi pogled na gradske zidine iz pozicije plaže, dok se u daljini izdvajaju zvonik i ostrvo Sveti Nikola. U njegovom stvaralaštvu mogu se prepoznati elementi stila francuskih umjetnika tridesetih godina 20. vijeka u kombinaciji sa balkanskim i orijentalnim uticajima, naročito u žestini upotrebe boje i uzdržanim gestovima. Takav primjer je i pejzaž iz Budve sa odlikama poetskog realizma, sa izrazitim sivo-zelenim koloritom i svjetlošću koja se rasipa po čitavoj kompoziciji."		"Marko Čelebonović; Budva"				
"42.486949,18.688651"	1007	"Perast"	"Cata (Katica)"	"Dujšin Ribar "		"ulje na platnu"	"67,5 x 80,5"	"NMCG"		"Geoculture"	"Pogled na Perast iz barke fokusiran je na centralni dio naselja, prikazan u apstraktnom maniru bojenih geometrijskih polja koja se ritmično reflektuju na površini vode. Pejzaž je sveden i sumarno naznačen bojom, pretežno u sivim tonovima, uz poneki diskretni zeleni akcent."		"Cata Dujšin Ribar; Perast"				
"42.76462231525652, 19.39070859263661"	1008	"Kraj manastira Morače"	"Đurđe"	"Teodorović"	1953	"ulje na platnu"	"95 x 140 "	"NMCG"		"Geoculture"	"Za razliku od slike „Jutro nad Bokom“, ova kompozicija je bliža apstraktnijem tretmanu formi. Prizorom dominira most koji je uklopljen u planinski pejzaž, ali djeluje kao da je u jednom dijelu porušen. U prvom planu prikazane su naglašeno izdužene ženske figure, predstavljene u nizu i koloristički uklopljene u ambijent."		"Đurđe Teodorović; Podgorica"				
"42.364561,19.060142"	1009	"Pavlova  strana"	"Niko"	"Đurović"	1975	"pastel na papiru "	"70,5x 50 "	"NMCG"		"Geoculture"	"Romantizovana predstava pogleda na jedan od najimpresivnijih pejzaža na Skadarskom jezeru data je kao bočni pogled na tok Rijeke Crnojevića, čime se odstupa od uobičajenog komponovanja. Prepoznatljivi Đurovićev kolorit primjetan je i na ovom radu u vidu apstrahovanog tretmana pejzaža i izrazito svijetlog, skoro jednoobraznog variranja sivih tonova. Prizor odiše mističnošću, dok magličasta, snena koprena kao da obavija čitavu kompoziciju."		"Niko Đurović; Skadarsko jezero"				
"42.323816939665846, 19.15776060342811"	1010	"Usnuli grad"	"Niko"	" Đurović"	1976	"olovka u boji na papiru"	"48,5x33"	"NMCG"		"Geoculture"	"Kompozicija sa motivom Skadarskog jezera i predstavom Žabljaka Crnojevića kao centralnim motivom ukomponovana je u scenu punog mjeseca i cvjetove lokvanja. Dominantan sivo-oker kolorit, uz mnoštvo pažljivo raspoređenih detalja, doprinosi osjećaju tišine i naglašene mističnosti prizora."		"Niko Đurović; Skadarsko jezero"				
"42.353880,19.022779"	1012	"Riječki grad"	"Jovan"	"Zonjić"		"ulje na platnu"	"65,5 x 93,5"	"NMCG"		"Geoculture"	"Slika Riječki grad realizovana je u dominantno sivim tonovima, kroz vijugave nanose u kojima se prepliću prilazni put, fasade kuća, brda u pozadini i nebo. Tek poneki akcent, poput crvenkastih krovova, tamnih otvora i oker-zelenkastih krošnji, razbija opšte sivilo prizora. Svi elementi djeluju stopljeno u jedinstvenu slikarsku cjelinu, doprinoseći utisku prigušene atmosfere. Kolorit je sveden na ograničenu paletu, zasnovanu pretežno na sivim i smeđim tonovima u skoro monohromnom tretmanu."		"Jovan Zonjić; Rijeka Crnojevića"				
