"naziv"	"godina/mjesto rođenja/ smrti"	"sadržaj"
"Adela Ber Vukić "	"Tuzla, 1888- Sarajevo, 1966"	"Prva školovana slikarka i grafičarka u Bosni i Hercegovini. U Sarajevu završila Višu djevojačku školu, a potom upisala Učiteljsku školu. Nakon godinu dana odlazi u privatnu slikarsku školu u Beč, kod profesora Roberta Šefera, a od 1910-1914. u Umjetničku školu za žene. Družila se sa slikarima Maksom Ernstom i Oskarom Kokoškom, a postepeno se usmjerava ka idejama plenerizma i impresionizma. Po povratku u Sarajevo otvara privatnu slikarsku školu. Nakon udaje mijenja ime u Jelena i rijetko izlaže. Uglavnom je slikala portrete, mrtve prirode i pejzaže. Nikada nije primljena u Udruženje slikara Bosne i Hercegovine jer je bila žena."
"Adolf Chelius"	"1856 - 1923"	"Adolf Helijus bio je nemački pejzažisti i žanrovski slikar aktivan krajem 19. i početkom 20. veka. Poznat po svojim prikazima seoskog života, šuma i pastoralnih scena, pripadao je generaciji umetnika koji su premošćivali realizam i nove tonalne pokrete u južnoj Nemačkoj."
"Adolf Wagner"		"Adolf Wagner bio je  pejzažni slikar i akvarelista, aktivan u drugoj polovini 19. vijeka. Radio je u tradiciji kasnoromantičnog pejzaža i vedute, sa naglaskom na atmosferu, svjetlo i sklad između arhitekture i prirodnog ambijenta. Njegovi radovi, često izvedeni u akvarelu, odlikuju se suptilnom koloristikom i mirnim, gotovo meditativnim tonom."
"Agostino Spadoni"		"O autoru ne postoje dostupni podaci."
"Ahmed Karić"	"Rogatica, 1926"	"Slikar. Diplomirao na Akademiji likovnih umetnosti u Beogradu 1956. godine u klasi Marka Čelebonovića. Član je ULUBIH-a od 1956. godine. Učestvovao je na kolektivnim izložbama ULUBIH-a. Imao je dvije samostalne izložbe u Sarajevu i tri u Rogatici.
Karić je učesnik slikarskih kolonija u Počitelju, Tjentištu, Kiseljaku, Ostrošcu i dr. Svoj radni vijek je proveo kao nastavnik u Školi za primijenjenu umjetnost i u Pedagoškom zavodu Sarajevo.
"
"Aleksandar Aco Prijić "	"Tivat, 1920 - Nikšić, 1986"	"Slikar, a bavio se i grafičkim dizajnom. Završio je Gimnaziju u Nikšiću 1940. Tokom rata bio je u logorima u Bugarskoj, Rumuniji i Njemačkoj. Obrazovanje stekao u Ateljeu Ministarstva prosvjete NRCG na Cetinju, a zatim učio kod  Mila Milunovića i Petra Lubarde do 1951. godine. Bio je direktor Muzeja NOB-a na Cetinju (1950-1959) i direktor Moderne galerije u Titogradu (1959-1978). Sa slikarima Gojkom Berkuljanom i Brankom Filipovićem Filom formirao je 1951. likovnu grupu „Trojica”. Studijski je boravio u Grčkoj (1953), Italiji (1954, 1960) i Francuskoj (1957). Izražavao se u različitim tehnikama - ulju, pastelu, temperi, akvarelu, varirajući stil od ekspresionizma ka nadrealizmu, pod uticajem svojih mentora, ali sa naglašenim koloritom. Bio je jedan od osnivača (1946), sekretar i predsjednik (1959-1967) ULUCG-a. Za vanrednog člana CANU izabran je 1985. godine."
"Alfred Zoff"	"Grac, 1852 - Grac, 1927"	"Slikar. Školovao se na Državnoj crtačkoj akademiji u Gracu, a potom i na Bečkoj akademiji likovnih umjetnosti kod Eduarda Peithnera von Lichtenfels-a. Završio studije u Karlsrueu kod Gustava Schönlebera i razvio svoj pristup pejzažnoj slici u duhu Barbizonske škole. Putovao po obalama Jadranskog mora, Italije i drugih evropskih regija, tražeći motive za svoje pejzaže. Njegov rad odlikuje fokus na stvaranje impresija prirode - promjenjivih svjetlosnih efekata. Od 1907. predavao je pejzaž i mrtvu prirodu na Akademiji umjetnosti u Gracu, a tokom života dobio je više nagrada i priznanja, uključujući medalje na međunarodnim izložbama."
"Anastasija Brajović "	"Pančevo, 1943 - Podgorica, 1995"	"Slikarka, likovna pedagoškinja, supruga slikara Dragoljuba Bata Brajovića. Pohađala je likovni kurs u Šumatovačkoj u Beogradu (1959-1960). Studirala je slikarstvo na ALU u Beogradu (1960-1965), u klasi profesora Z. Petrovića. Predavala na Pedagoškoj akademiji u Nikšiću (1965-1968), u Gimnaziji (1968-1976) i Osnovnoj školi „Sutjeska” u Podgorici. Usavršavala se na boravcima u Parizu, Beču, Budimpešti, Napulju, Rimu, Firenci i Veneciji. Slikala je pejzaže, mrtve prirode, ptice, portrete. Učestvovala je na grupnim izložbama u zemlji i inostranstvu. Dobitnica je Otkupne nagrade Cetinjskog salona jugoslovenske likovne umjetnosti „13. novembar”, Cetinje (1975); Otkupne nagrade ULUCG-a (1984); II nagrade na izložbi „Umjetnici Titogradu” (1985). Članica je ULUCG-a od 1965. godine."
"Anton Karinger"	"Ljubljana, 1829 - Ljubljana, 1870"	"Slovenački slikar i pjesnik. Nakon završene Trgovačke škole, 1845. odlazi u Beč na Umjetničku akademiju, a potom u Minhen. Učestvovao je u ratu 1849. godine. U Italiji je ostao do 1854, kada dobija prekomandu u Boku Kotorsku, gdje službuje u 17. Pješadijskom puku. Tokom boravka u Crnoj Gori boravi na Cetinju na dvoru, gdje je načinio nekoliko slika članova vladarske porodice. 1855. godine odlazi u Šibenik. 1861. godine istupio je iz vojske zbog zdravstvenih razloga i vratio se u Ljubljanu. Od tada se intenzivno posvećuje slikarstvu. Skice koje je načinio tokom putovanja služile su kao predlošci za veće kompozicije."
"Anton Perko"	"Radovljica, 1833 - Beč, 1905"	"Slovenački slikar i crtač, školovan u Beču, gdje je veći dio života i djelovao. Perko je poznat po pejzažima, vedutama i ilustracijama, naročito motivima iz Alpa, Dalmacije, Crne Gore i šireg balkanskog prostora. Njegov rad karakterišu topografska preciznost, miran kolorit i dokumentarni pristup pejzažu, zbog čega su njegova djela često korištena u putopisima i ilustrovanim publikacijama XIX vijeka, na razmeđi između umjetničkog i kartografskog prikaza prostora."
